timestamp,claim,source,text,trust
2025-12-19T04:32:52.563121,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Devdiscourse,"Argentine football legend Lionel Messi's GOAT India Tour 2025 took a chaotic turn in Kolkata, with fans clashing amid poor crowd control, before he arrived in Hyderabad for an exhibition match. Politicians, VVIPs, and security overshadowed the sporting event, leaving fans frustrated and leading to unruly scenes. The much-anticipated GOAT India Tour 2025 featuring Argentine football icon Lionel Messi took a tumultuous start in Kolkata. Fans, eager to witness the maestro, were left disgruntled as a sea of politicians, VVIPs, and security personnel overshadowed... [703 chars]",0.85
2025-12-19T04:32:52.564115,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Times of India,"Football News: Football icon Lionel Messi arrived in Hyderabad for his GOAT India Tour 2025, following a chaotic event in Kolkata. Thousands of fans in Kolkata were Football icon Lionel Messi arrived in Hyderabad for his GOAT India Tour 2025, following a chaotic event in Kolkata. Thousands of fans in Kolkata were left disappointed as selfies and VVIP access overshadowed the match, leading to vandalism and object... [1375 chars]",0.85
2025-12-19T04:32:52.564115,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",NewsX,"Lionel Messi arrived in Hyderabad for the second leg of his GOAT India Tour 2025 on Saturday evening, following a chaotic episode of the Kolkata event at Salt Lake Stadium. Argentina football icon Lionel Messi, with Rodrigo de Paul, Luis Suarez, graces the field at Rajiv Gandhi International Cricket Stadium and plays football with Telangana CM, turning the iconic venue into a football spectacle. 9
Lionel Messi arrived in Hyderabad for the second leg of his GOAT India Tour 2025 on Saturday evening, following a chaotic episode of the Kolkata event at Salt Lake Stadium. The football legend received a warm welcome from Telangana Chief Minister R... [1423 chars]",0.85
2025-12-19T04:32:52.564115,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Zee News,"Lionel Messi arrived in Mumbai on Sunday for the third stop of his GOAT Tour, where he is set to attend events at the Cricket Club of India and the Wankhede Stadium, including appearances alongside Sachin Tendulkar. After earlier visits to Kolkata and Hyderabad, Messi will head to New Delhi next to conclude his India tour. Argentine football great Lionel Messi arrived in Mumbai on Sunday afternoon, marking the third stop of his much-anticipated GOAT Tour in India. During his stay, he is scheduled to attend the Padel GOAT Cup at the Cricket Club of India (CCI), Brabourn... [2862 chars]",0.85
2025-12-19T04:32:52.565113,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",NewsX,"Lionel Messi has arrived in Mumbai for the third leg of his GOAT India Tour 2025, sending the city into a frenzy. After electrifying Kolkata and Hyderabad, the football icon checked into a luxury Mumbai hotel under tight security, adding blockbuster buzz to his India visit. 17
Mumbai has seen it all, royalty, movie stars, presidents but when Lionel Messi lands, the whole city seems to hold its breath. Security tightens up.
Streets get strangely quiet. Hotel hallways feel like they’ve turned into airport runways. Messi’s... [2296 chars]",0.85
2025-12-19T04:32:52.565113,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Firstpost,"Lionel Messi’s Kolkata visit during his India GOAT Tour ended in chaos, with fans throwing chairs and bottles after failing to catch his glimpse properly. The main organiser has been detained and a police probe is launched. Messi has now arrived in Hyderabad for the next leg of his tour. Lionel Messi’s much-anticipated visit to Kolkata as part of his made international headlines after the event at Salt Lake Stadium descended into chaos. Reports from BBC, The Guardian, and Reuters highlighted fan frustration and vandalism following th... [1877 chars]",0.85
2025-12-19T04:32:52.565113,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Livemint,"Lionel Messi arrived in Hyderabad under extremely high level of security, implemented following the widespread chaos that unfolded earlier in the day at Kolkata’s Salt Lake Stadium Hyderabad: Argentine football icon and FIFA World Cup winner, Lionel Messi, landed in Hyderabad on Saturday, marking the second stop of his high-profile 'GOAT India Tour' 2025.
His arrival in Hyderabad was characterized by an extremely high level of ... [964 chars]",0.85
2025-12-19T04:32:52.565113,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",India Today,"Before the crowds arrived, Lionel Messi spent his first morning in India with Sanjiv Goenka — a private Kolkata conversation that set a reflective tone and offered a rare glimpse into the man behind football’s most celebrated name. Lionel Messi’s first full morning in India unfolded far from the noise that would later surround his GOAT Tour stop in Kolkata. Before the crowds, ceremonies and security cordons took over, the Inter Miami and Argentina superstar spent time in a quie... [3112 chars]",0.85
2025-12-19T04:32:52.566109,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",Malayala Manorama,"Fans had waited for the Argentine hero well past midnight when he arrived in the city around 3 am..Lionel Messi Kolkata, Messi India visit, Salt Lake Stadium Messi, Messi fan chaos Kolkata, Argentine footballer India, Messi GOAT Tour Kolkata, Football mania Kolkata, Sports event security breach, Kolkata football fans disappointment, Messi India experience, Crowd control strategies sports events, Impact of celebrity visits India, Shah Rukh Khan Kolkata event, Sourav Ganguly Messi Kolkata, Political interference sports Kolkata: The Messi mania that had gripped the city during Argentine footballing legend Lionel Messi’s brief visit to Kolkata turned ugly as angry fans broke security protocols after failing to catch even a glimpse of the world’s most popular football... [1445 chars]",0.85
2025-12-19T04:32:52.566109,"Lionel Messi arrived in Kolkata on December 13, 2025, to kick off the GOAT India Tour 2025. Thousands gathered, chanting his name, waving Argentina flags, and climbing barricades.",thescottishsun,"Lionel Messi given ultra-rare watch worth nearly £1MILLION by Indian billionaire during chaotic GOAT tour LIONEL MESSI was given an ultra-rare watch worth nearly £1MILLION by an Indian billionaire. The Argentine star was bestowed the gift during his GOAT tour of India. https://www.instagram.com/p/DSYMs2HkQEm Messi, 38, arrived in the South Asia nation on Saturday for a four-day visit which started in Kolkata. During his stay in the country, he spent time...",0.7
